"","r_id","collection"
"515",92745,"Pan-Asian Delicacies"
"516",90965,"Pan-Asian Delicacies"
"517",93180,"Best Shawarmas"
"518",93402,"Great Coffee"
"519",71388,"Corporate Dining"
"520",69992,"Long Drives"
"521",70818,"Long Drives"
"522",71201,"Pocket Friendly"
"523",66207,"Jain Food"
"524",70952,"Super Seafood"
"525",65923,"Great Breakfasts"
"526",71198,"Late Night Eats"
"527",66336,"Veggie Friendly"
"528",65864,"Upper Crust"
"529",66696,"Terrific Thalis"
"530",306554,"Late Night Delivery"
"531",7690,"Street Food"
"532",9165,"Old Delhi Treats"
"533",306198,"Romantic"
"534",2423,"Romantic"
"535",300680,"Veggie Friendly"
"536",1301,"Veggie Friendly"
"537",303642,"Frozen Delights"
"538",308196,"Late Night Delivery"
"539",8429,"Sweet Tooth"
"540",311297,"Regional Favorites"
"541",308018,"Regional Favorites"
"542",307822,"European & Mediterranean"
"543",94161,"Pocket Friendly"
"544",91968,"Street Food"
"545",91881,"Veggie Friendly"
"546",66459,"Street Food"
"547",69103,"Brilliant Biryanis"
"548",65307,"Long Drives"
"549",66742,"Veggie Friendly"
"550",70427,"Kickass Burgers"
"551",9930,"Rooftops"
"552",8404,"Regional Favorites"
"553",3721,"Pan-Asian Delicacies"
"554",306666,"Regional Favorites"
"555",306521,"Microbreweries"
"556",4296,"Sweet Tooth"
"557",308447,"Great Breakfasts"
"558",301574,"Great Coffee"
"559",3381,"Legendary Restaurants"
"560",307079,"Student Faves"
"561",2144,"Regional Favorites"
"562",95608,"Street Food"
"563",95822,"Frozen Delights"
"564",92633,"Pan-Asian Delicacies"
"565",93380,"Pocket Friendly"
"566",97068,"Meat Cravings"
"567",66005,"All-day Dining"
"568",66093,"What's Your Poison?"
"569",68543,"Pocket Friendly"
"570",67434,"Street Food"
"571",70143,"Veggie Friendly"
"572",68873,"Brilliant Biryanis"
"573",65697,"Sunday Brunches"
"574",66558,"Rooftops"
"575",67298,"Street Food"
"576",69857,"Terrific Thalis"
"577",70906,"Kickass Burgers"
"578",300683,"Great Breakfasts"
"579",1533,"Pocket Friendly"
"580",310958,"Regional Favorites"
"581",309913,"Late Night Eats"
"582",4810,"Romantic"
"583",311674,"Student Faves"
"584",3703,"Pan-Asian Delicacies"
"585",310301,"Kickass Burgers"
"586",307893,"Regional Favorites"
"587",4271,"Frozen Delights"
"588",97561,"Newly Opened"
"589",92687,"Legendary Restaurants"
"590",91511,"Late Night Eats"
"591",92026,"Street Food"
"592",91818,"Great Italian"
"593",91888,"Shisha Hangouts"
"594",92728,"Legendary Restaurants"
"595",69132,"Sweet Tooth"
"596",66537,"Regional Favorites"
"597",65302,"Regional Favorites"
"598",68869,"Veggie Friendly"
"599",70221,"Sweet Tooth"
"600",65694,"Sunday Brunches"
"601",65300,"Regional Favorites"
"602",66555,"Sweet Tooth"
"603",70174,"Brilliant Biryanis"
"604",306028,"Regional Favorites"
"605",310405,"Pan-Asian Delicacies"
"606",309792,"Frozen Delights"
"607",2690,"Sunday Brunches"
"608",3389,"Sunday Brunches"
"609",309844,"Frozen Delights"
"610",306581,"Sunday Brunches"
"611",8933,"Kebab Places"
"612",313149,"Newly Opened"
"613",310399,"Kickass Burgers"
"614",122,"Legendary Restaurants"
"615",92616,"Great Italian"
"616",93342,"Best Bakeries"
"617",92957,"Shisha Hangouts"
"618",92346,"Best Shawarmas"
"619",93680,"Hidden Gems"
"620",90392,"Brilliant Biryanis"
"621",95643,"Street Food"
"622",91647,"Best Bakeries"
"623",34117,"Jain Food"
"624",47252,"Regional Favorites"
"625",17759819,"European & Mediterranean"
"626",42919,"All-day Dining"
"627",42536,"Great Breakfasts"
"628",34439,"Juices & Shakes"
"629",42328,"Regional Favorites"
"630",42529,"Student Faves"
"631",37967,"Great Coffee"
